official_name,osm_street_name,match_key,zone_numbers,tariff_zone,price_label,time_rules,stall_count,source,source_confidence
VIA TORRE DEL VESCOVO,Via Torre del Vescovo,viatorredelvescovo,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,6,amts_piano_generale_sosta,0.82
VIA TRIESTE,Via Trieste,viatrieste,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,43,amts_piano_generale_sosta,0.82
VIA TRIPOLITANIA,Via Tripolitania,viatripolitania,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,12,amts_piano_generale_sosta,0.82
VIA UGHETTI,Via Ughetti,viaughetti,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,16,amts_piano_generale_sosta,0.82
VIA UMBERTO,Via Umberto I,viaumbertoi,9;18;19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,99,amts_piano_generale_sosta,0.82
VIA VECCHIA OGNINA,Via Vecchia Ognina,viavecchiaognina,19,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,39,amts_piano_generale_sosta,0.82
VIA VENIERO,Via Veniero,viaveniero,9,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,7,amts_piano_generale_sosta,0.82
VIA VERONA,Via Verona,viaverona,18,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,16,amts_piano_generale_sosta,0.82
VIA VICENZA,Via Vicenza,viavicenza,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,38,amts_piano_generale_sosta,0.82
VIA VINCENZO GIUFFRIDA,Via Vincenzo Giuffrida,viavincenzogiuffrida,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,49,amts_piano_generale_sosta,0.82
